x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,label
47,77,48,67,49,58,51,49,51,40,51,32,55,23,54,16,1
48,83,51,77,51,67,51,55,51,42,50,33,49,26,50,19,1
51,81,51,73,51,65,51,58,48,49,44,38,44,29,40,21,1
48,79,49,67,49,56,49,48,49,40,49,33,51,26,51,19,1
68,73,60,64,49,63,37,59,53,51,47,38,40,26,34,15,1
43,82,48,77,49,67,49,58,49,49,52,38,56,21,52,28,1
74,80,67,72,62,60,52,60,50,48,39,41,32,30,22,22,1
55,78,54,68,51,60,49,51,48,42,44,33,44,26,44,18,1
58,78,57,68,53,58,44,54,50,45,40,41,39,32,36,22,1
51,81,52,71,52,60,45,61,49,49,48,38,45,20,42,29,1
48,77,49,67,49,58,50,49,49,38,50,27,51,18,21,32,1
51,78,51,67,51,58,51,49,51,40,51,33,51,26,51,17,1
41,77,42,67,47,66,49,58,49,50,50,42,52,32,54,19,1
49,81,49,70,53,60,47,55,53,50,49,41,49,31,51,21,1
69,73,60,64,48,63,56,53,49,42,42,32,36,23,33,14,1
52,82,49,74,49,63,49,53,48,42,44,33,53,28,49,20,1
56,83,55,74,51,66,50,58,48,50,48,38,46,19,43,29,1
75,78,67,71,59,60,52,50,45,40,14,50,37,29,28,19,1
64,80,61,72,57,64,51,56,46,48,41,39,35,29,28,19,1
41,86,47,74,51,63,51,53,50,41,40,32,50,29,59,36,2
27,77,47,78,68,75,66,56,39,29,20,25,53,39,65,26,2
45,74,57,80,62,65,55,52,36,31,26,22,49,40,58,32,2
50,75,68,79,67,59,55,40,39,63,25,22,40,23,57,22,2
45,77,64,78,73,58,47,38,23,36,24,22,37,26,64,36,2
29,73,42,86,58,77,60,58,52,38,36,28,65,28,81,26,2
30,76,46,81,62,75,61,56,47,38,33,22,54,25,74,29,2
39,77,59,77,59,61,46,48,35,38,22,33,59,32,78,34,2
36,77,58,76,56,61,64,28,43,49,30,33,45,25,82,32,2
37,80,53,82,55,61,63,28,41,42,30,27,45,26,78,33,2
37,83,59,83,59,62,62,27,44,46,27,32,41,24,82,32,2
39,68,53,76,59,64,62,44,29,42,31,27,47,37,81,47,2
36,78,49,83,63,78,61,61,51,46,30,21,42,29,57,22,2
46,79,64,82,62,63,53,46,40,36,26,29,58,28,70,34,2
29,77,51,79,67,63,59,43,36,43,33,20,53,25,78,39,2
54,73,74,69,65,53,49,46,31,55,18,41,33,36,68,32,2
49,82,72,80,67,57,47,43,28,44,21,28,38,28,59,34,2
34,73,44,65,49,54,71,44,40,39,29,34,55,42,87,44,2
28,73,42,79,57,77,51,56,45,38,30,33,64,33,80,32,2
19,77,41,76,59,69,68,57,46,37,25,38,61,39,76,33,2
40,80,62,80,62,64,51,49,35,38,28,23,46,24,64,24,2
39,87,57,81,62,65,61,51,34,39,38,25,53,40,55,27,2
35,72,52,71,58,57,47,47,39,39,44,28,48,15,60,14,2
34,61,41,75,58,68,57,54,46,40,37,23,59,27,79,39,2
27,71,43,71,52,64,53,52,49,38,36,31,65,37,80,34,2
30,82,44,82,55,70,52,53,42,38,30,29,60,36,76,27,2
39,79,58,81,65,62,56,44,31,47,28,30,47,27,74,39,2
32,74,44,69,56,60,66,47,20,72,45,22,57,29,73,29,2
30,80,50,86,69,72,72,51,42,40,24,30,52,23,62,34,2
46,76,64,80,64,63,51,43,37,35,22,35,64,33,77,25,2
39,70,58,79,76,75,67,53,29,37,21,23,40,28,56,34,2
40,82,55,78,66,69,60,54,48,41,31,20,38,29,49,20,2
39,75,55,85,63,71,58,53,45,38,32,25,47,24,63,26,2
24,71,40,78,58,74,53,59,42,45,39,28,58,23,77,25,2
34,79,53,82,52,63,45,50,43,35,24,33,61,25,78,31,2
45,77,63,79,68,62,56,49,40,34,26,30,50,24,64,16,2
37,83,48,69,55,55,56,41,41,38,41,24,54,26,66,41,2
40,74,56,71,66,62,59,44,30,70,36,21,47,31,58,20,2
26,66,40,68,48,60,65,37,44,49,39,37,50,37,81,36,2
45,77,60,71,63,56,46,44,34,38,36,22,48,30,62,39,2
48,73,64,78,55,58,59,35,28,34,13,23,43,43,66,22,2
22,69,37,71,53,67,54,54,43,39,48,27,62,26,76,27,2
22,71,37,74,51,67,47,54,38,41,45,30,63,32,79,39,2
33,77,54,80,71,73,66,57,50,43,34,30,37,17,58,19,2
38,80,58,84,66,69,57,52,34,35,20,29,54,35,74,27,2
28,70,47,78,56,63,53,46,39,41,27,34,66,38,81,32,2
27,80,45,80,56,69,53,54,45,39,40,24,56,22,73,21,2
29,77,51,80,58,61,56,40,39,45,33,30,46,22,67,30,2
43,82,49,70,55,54,59,36,44,37,29,33,39,25,77,35,2
52,89,65,79,71,61,48,35,31,44,21,33,35,26,64,41,2
21,79,38,80,55,69,50,52,67,44,69,26,52,20,40,28,3
25,73,41,74,53,60,37,53,71,53,73,33,60,20,43,24,3
37,82,55,74,52,58,36,54,70,48,70,31,53,20,33,22,3
42,83,53,80,58,49,50,63,58,38,55,28,48,21,38,22,3
28,73,45,73,59,68,49,41,59,55,59,29,63,13,38,37,3
42,80,53,75,54,62,41,55,49,51,56,39,54,26,47,16,3
37,78,52,78,48,62,40,51,57,50,62,35,52,22,35,22,3
35,78,52,76,53,61,39,50,50,47,60,37,60,24,45,16,3
30,77,49,76,47,62,41,46,56,38,69,31,59,19,44,19,3
22,75,39,82,50,66,37,60,66,53,76,35,60,21,37,27,3
43,80,57,77,61,62,52,55,60,46,59,26,46,20,33,25,3
40,80,54,77,69,72,39,43,58,56,55,32,45,17,29,16,3
46,69,62,74,54,55,38,49,58,41,52,29,38,18,20,17,3
28,70,47,77,54,61,42,56,66,52,66,35,53,24,36,16,3
20,76,38,78,55,71,46,56,65,48,75,30,52,16,31,51,3
47,77,60,77,54,64,44,60,59,53,55,35,44,22,29,17,3
34,78,48,80,53,63,41,57,67,54,63,33,48,21,30,26,3
24,79,49,75,61,62,45,46,58,46,70,25,56,14,33,18,3
43,83,54,76,52,59,42,58,60,49,64,37,52,24,37,19,3
24,64,48,69,69,68,39,48,56,51,62,32,41,18,21,19,3
54,84,65,78,64,67,55,57,53,44,47,32,36,26,22,27,3
43,68,60,79,77,79,38,46,71,63,57,46,43,27,22,21,3
39,81,53,73,60,52,40,58,73,35,63,22,46,22,31,29,3
39,68,56,77,62,62,28,54,58,47,57,28,41,17,40,41,3
25,80,46,78,64,69,38,45,54,51,68,39,58,23,35,16,3
29,72,45,74,52,59,35,53,67,51,70,34,57,18,40,20,3
29,81,43,78,50,60,37,58,60,47,66,34,56,22,41,23,3
36,74,53,79,53,59,41,56,66,44,60,29,45,19,32,24,3
52,79,72,76,69,63,39,52,55,53,57,33,38,25,22,25,3
38,72,57,77,72,75,52,51,64,58,56,35,45,20,28,20,3
24,77,44,79,59,68,45,55,59,44,67,27,54,16,36,18,3
42,80,60,75,64,49,51,58,65,31,55,18,40,15,31,24,3
33,82,53,80,54,65,42,58,60,50,65,33,54,20,35,24,3
26,74,53,71,57,53,37,54,70,34,62,17,46,15,27,23,3
45,76,63,74,52,61,37,49,47,40,57,30,52,17,34,12,3
22,80,47,77,45,60,28,56,64,52,74,36,58,24,38,22,3
44,78,54,82,59,72,47,47,54,59,55,31,45,20,33,25,3
23,64,63,67,48,65,36,49,60,50,77,38,60,24,42,21,3
39,78,57,81,70,74,38,51,58,54,61,34,45,20,23,24,3
38,80,57,76,50,62,39,50,54,43,63,34,52,22,34,16,3
35,79,48,83,64,68,40,53,55,53,61,33,50,20,31,22,3
35,77,54,72,58,53,37,55,71,39,57,28,40,22,24,29,3
40,77,55,77,65,65,34,50,54,53,63,37,52,23,33,17,3
27,81,52,79,47,57,30,49,64,50,75,36,59,22,35,21,3
48,74,64,79,66,65,50,57,60,47,52,28,35,20,21,33,3
34,79,53,75,48,55,26,51,69,52,78,35,59,23,36,24,3
35,79,52,81,61,70,39,51,58,54,68,36,57,23,38,23,3
41,82,63,68,53,59,42,53,60,36,52,28,43,24,35,20,3
38,75,59,79,56,61,42,51,63,48,61,32,45,23,27,21,3
48,81,62,81,58,68,49,54,57,43,47,29,35,20,24,24,3
44,75,35,62,25,50,37,45,51,46,67,58,64,39,57,24,4
39,72,36,57,46,32,50,47,60,62,68,76,66,50,38,18,4
31,66,46,48,28,49,62,45,64,62,66,75,62,29,62,17,4
59,63,32,67,32,49,53,49,68,45,66,76,47,35,47,18,4
38,63,30,47,20,39,49,37,68,63,76,77,62,47,41,20,4
33,71,29,54,29,39,49,46,64,61,71,78,67,42,58,25,4
40,60,35,44,21,41,51,36,68,60,74,75,60,46,47,22,4
43,75,32,63,32,45,54,40,68,52,71,71,90,19,50,20,4
25,66,26,50,39,43,57,47,61,61,64,76,60,29,68,18,4
34,67,38,44,23,49,53,40,62,57,73,73,71,45,45,23,4
25,72,28,51,21,43,45,50,63,50,64,66,70,38,72,21,4
32,72,43,52,31,56,56,43,58,56,65,70,53,29,53,15,4
29,70,38,53,21,55,54,48,67,53,68,70,65,34,63,17,4
43,66,38,51,27,42,50,39,67,61,75,76,63,44,44,21,4
42,71,32,56,26,41,45,41,77,47,66,61,64,41,66,23,4
54,66,38,53,22,39,38,36,68,56,70,78,70,32,56,37,4
55,65,41,59,36,47,52,42,57,52,59,76,53,30,52,17,4
43,77,36,65,37,52,53,47,61,55,62,69,53,33,49,19,4
52,74,41,62,35,50,51,45,56,57,56,66,50,29,49,15,4
21,80,32,56,34,40,50,37,58,58,58,78,62,39,55,22,4
20,77,24,63,30,48,46,47,79,46,58,64,63,46,66,28,4
38,75,33,57,30,38,51,39,58,59,62,78,72,43,47,23,4
34,73,32,50,23,32,54,51,65,65,64,80,69,49,66,30,4
39,61,36,48,44,28,50,41,64,62,73,73,57,51,38,16,4
50,66,37,57,30,43,49,50,67,41,52,78,48,36,46,18,4
43,59,22,62,37,43,55,48,58,62,63,76,50,38,47,21,4
68,64,35,60,32,42,52,43,62,51,78,76,50,30,44,18,4
42,71,35,54,25,44,50,41,68,64,77,76,64,47,45,22,4
31,72,23,59,25,43,46,43,66,60,67,78,62,45,63,26,4
33,74,33,56,39,42,60,48,62,62,62,76,57,37,60,21,4
36,70,53,54,35,54,54,42,68,47,56,70,55,29,54,15,4
37,73,44,48,29,50,55,37,64,55,74,72,71,42,46,23,4
43,64,32,47,41,31,49,45,73,61,85,71,63,52,31,20,4
44,66,34,51,19,39,53,42,58,57,61,74,69,45,52,22,4
41,75,40,62,40,48,49,42,59,43,56,53,55,29,54,18,4
42,68,30,55,28,41,45,43,72,51,82,62,64,41,60,28,4
48,70,35,57,31,43,48,40,70,64,80,79,64,50,38,23,4
28,63,28,46,40,40,55,45,59,60,59,76,56,30,62,17,4
42,74,35,62,32,46,45,39,65,53,70,68,58,35,54,19,4
32,72,25,57,20,43,40,45,60,52,66,71,61,37,63,21,4
30,70,45,51,27,52,55,37,67,61,77,72,65,48,49,19,4
36,67,32,52,23,43,49,41,61,50,68,70,78,46,43,24,4
43,60,29,46,39,30,45,44,69,66,79,77,60,52,30,18,4
57,57,31,66,29,49,46,42,62,43,59,73,60,30,64,16,4
33,69,35,53,43,45,55,48,56,62,55,76,60,33,60,19,4
29,71,30,53,38,36,59,47,58,63,54,74,58,33,65,16,4
47,74,39,61,33,45,49,40,60,52,69,68,45,27,39,17,4
32,66,28,50,38,44,47,35,67,60,78,74,56,47,39,20,4
41,71,36,54,28,38,43,39,61,57,63,74,59,39,56,21,4
31,74,30,56,33,40,46,44,59,50,64,63,58,35,54,18,4
81,67,66,62,40,58,32,48,51,63,40,39,49,29,26,28,5
73,80,55,79,42,71,38,55,57,45,63,26,47,15,28,18,5
83,71,71,71,44,60,41,47,59,70,52,35,45,24,28,23,5
84,62,64,58,37,51,27,44,52,54,74,60,33,34,24,26,5
81,77,62,78,42,74,29,60,47,48,64,35,55,19,33,21,5
76,73,59,67,43,66,31,56,36,41,59,25,59,12,47,32,5
52,80,37,77,31,62,48,51,68,43,71,28,52,22,34,27,5
80,75,58,74,39,71,31,55,45,49,61,37,52,23,34,20,5
57,83,34,77,28,58,40,51,63,49,75,35,59,19,38,18,5
78,72,58,68,46,56,35,49,58,41,51,27,37,24,24,27,5
64,78,44,77,43,61,24,37,58,51,67,33,54,21,34,22,5
79,70,61,68,48,59,37,49,54,42,46,30,36,25,22,28,5
64,51,56,78,32,75,30,54,46,52,75,37,64,21,44,17,5
65,77,54,73,40,71,38,51,56,51,63,36,54,21,37,19,5
73,78,52,75,35,73,25,58,47,47,65,34,55,18,35,18,5
61,78,40,71,41,53,22,55,67,51,75,31,56,18,34,20,5
65,78,45,79,32,68,46,55,61,41,67,23,47,20,26,21,5
76,72,56,74,40,71,31,54,57,49,72,35,56,23,33,30,5
76,76,57,76,41,61,21,30,53,53,64,40,53,27,36,24,5
79,72,58,72,45,65,34,49,52,44,62,30,54,15,32,12,5
74,72,57,73,41,69,39,54,46,35,51,16,36,18,20,25,5
81,78,63,74,52,64,45,54,58,46,51,32,37,25,25,31,5
78,73,59,70,42,71,35,54,52,44,66,27,48,24,28,30,5
73,76,51,76,41,62,35,49,59,50,61,32,47,18,28,22,5
71,48,54,82,27,77,26,57,49,55,79,30,56,21,32,25,5
61,80,44,77,49,58,31,62,65,46,63,28,47,21,32,31,5
69,81,55,81,44,71,48,58,60,43,54,31,43,26,32,21,5
79,75,58,74,46,65,40,54,53,45,50,30,37,20,26,25,5
74,70,56,67,39,68,30,52,57,43,62,27,48,14,39,39,5
66,77,49,66,41,52,35,30,61,46,52,32,55,14,31,14,5
64,50,44,79,38,65,37,51,52,54,66,37,58,26,47,19,5
79,82,59,78,47,66,34,59,63,52,57,32,39,22,27,29,5
79,75,60,71,42,66,32,54,44,43,55,31,43,28,28,28,5
72,68,51,72,38,63,34,45,47,40,62,36,53,23,38,13,5
69,46,55,81,38,73,37,56,53,52,63,32,49,25,32,20,5
76,71,60,67,48,59,34,50,56,49,50,37,37,31,21,31,5
63,43,54,75,32,74,28,53,46,46,78,32,65,20,50,24,5
69,75,54,74,44,65,30,57,34,42,53,39,61,25,44,20,5
76,67,55,71,33,73,23,56,34,43,53,40,66,27,44,19,5
81,69,65,69,52,66,36,48,44,53,57,47,45,35,28,36,5
77,74,61,74,49,65,38,56,50,45,46,29,34,19,22,29,5
74,81,49,77,28,64,39,51,60,44,70,26,49,20,31,29,5
78,72,62,69,46,67,32,57,43,45,55,33,41,23,24,24,5
59,75,55,58,30,77,40,68,67,46,63,29,52,16,33,22,5
74,82,65,74,55,66,31,49,42,57,39,37,52,28,40,18,5
70,68,47,70,38,57,26,51,57,57,63,37,51,24,30,15,5
61,78,47,77,42,65,40,51,57,52,62,37,52,24,36,24,5
81,78,63,75,52,68,25,26,41,53,53,39,46,24,31,17,5
52,67,35,76,30,61,38,47,57,46,70,33,62,19,48,17,5
75,49,51,78,29,72,36,57,57,58,75,30,55,17,33,18,5
32,83,23,64,26,46,57,31,76,35,77,53,51,56,38,34,6
47,83,39,67,37,51,52,29,64,35,62,50,48,54,41,38,6
49,79,32,60,21,40,53,32,77,43,70,59,49,51,34,28,6
43,82,31,61,29,41,62,29,76,36,75,54,55,52,46,32,6
59,87,46,77,34,63,38,32,58,31,66,48,52,46,28,44,6
65,85,43,64,36,51,41,24,56,28,54,75,53,43,33,36,6
50,82,40,66,35,50,55,25,72,37,65,56,50,51,39,33,6
51,81,36,63,31,45,47,28,64,35,71,53,53,50,32,29,6
61,84,45,72,31,57,49,24,71,30,65,45,46,42,29,36,6
46,85,36,65,30,46,53,27,69,38,63,56,45,46,37,30,6
66,81,47,59,38,45,52,26,63,40,56,70,51,42,36,28,6
55,84,47,72,39,57,53,24,64,35,58,49,38,44,38,28,6
46,81,37,64,32,47,53,24,66,34,65,51,50,57,36,27,6
34,86,26,68,28,48,54,28,73,33,80,46,59,43,38,34,6
33,84,25,64,25,47,56,31,65,40,80,51,66,53,37,35,6
67,83,55,72,34,50,41,28,56,39,69,49,43,61,29,34,6
57,81,50,63,31,39,56,26,69,38,68,56,39,53,37,24,6
67,83,41,60,33,39,57,29,65,42,54,73,51,41,39,26,6
59,84,48,74,39,45,52,27,64,37,56,52,42,59,38,28,6
64,86,43,65,36,51,50,25,61,24,55,79,42,29,33,37,6
41,82,32,64,28,46,58,26,77,36,72,55,53,51,36,29,6
69,83,37,62,26,45,45,29,73,48,54,75,58,40,27,28,6
62,76,47,68,22,40,48,31,61,28,78,78,33,57,34,27,6
44,85,37,70,29,56,45,32,64,31,81,43,61,47,30,37,6
63,86,43,61,34,48,38,26,63,37,55,72,55,30,26,35,6
58,85,45,70,35,53,49,27,66,33,67,49,52,43,35,36,6
66,87,55,76,38,45,51,30,64,40,57,48,44,62,35,28,6
62,87,47,80,38,65,54,23,68,32,54,40,37,51,37,35,6
52,81,45,67,38,54,42,27,56,33,66,44,56,53,37,39,6
53,82,44,70,36,56,39,27,56,27,64,44,51,46,29,40,6
64,85,47,62,39,47,51,28,66,37,56,74,56,47,34,33,6
54,81,48,63,35,36,54,27,64,38,64,55,39,51,38,24,6
62,83,52,69,39,44,51,24,57,37,56,49,46,56,39,29,6
54,85,38,72,31,53,50,23,70,34,73,54,52,52,38,35,6
46,82,35,63,31,46,54,30,66,39,62,53,46,52,39,30,6
27,79,23,58,29,39,62,35,81,40,80,55,61,52,46,33,6
60,83,52,75,44,62,45,26,56,37,59,52,41,46,31,31,6
55,85,44,73,34,56,46,30,65,29,68,45,52,51,35,40,6
64,85,51,72,28,45,49,32,61,41,74,51,39,58,30,29,6
57,86,47,72,38,56,45,29,62,33,65,49,52,44,35,39,6
53,83,40,69,27,40,50,22,64,29,72,37,32,55,32,26,6
46,81,35,63,29,45,56,30,72,35,69,50,55,51,38,30,6
51,87,46,75,42,62,51,28,60,34,56,46,41,47,42,34,6
47,87,35,73,28,56,61,27,78,38,58,43,43,32,30,38,6
49,78,37,63,40,47,46,22,68,26,66,78,61,44,30,38,6
52,84,43,66,38,51,48,28,61,37,63,52,49,47,39,37,6
62,82,51,69,35,42,54,26,62,37,56,50,42,54,40,26,6
49,83,43,70,42,55,60,30,70,44,61,56,40,39,46,26,6
53,82,43,66,34,37,55,26,66,40,57,52,40,49,39,24,6
60,81,40,60,35,47,46,24,58,30,49,72,53,40,37,34,6
11,63,29,62,52,65,70,60,67,48,62,36,56,24,53,12,7
26,67,40,66,55,65,69,64,64,51,54,39,44,28,37,14,7
30,56,41,63,55,61,69,65,60,51,51,38,43,24,34,8,7
30,50,35,69,43,62,59,70,67,56,62,39,55,25,51,12,7
40,53,50,65,61,74,64,62,59,51,51,38,41,26,33,14,7
14,70,30,68,44,69,59,63,61,46,41,43,58,32,55,19,7
22,65,38,69,56,66,78,48,61,51,49,44,32,42,51,27,7
11,58,37,55,53,59,69,61,63,49,55,41,49,31,39,22,7
21,55,28,67,44,63,71,68,60,58,60,44,57,30,56,13,7
15,65,30,65,45,64,62,66,69,57,64,41,57,28,50,13,7
27,50,39,63,56,62,72,63,66,47,56,31,15,35,46,15,7
26,65,40,67,52,70,57,61,55,48,51,36,51,25,51,12,7
35,48,41,59,47,70,60,69,59,55,55,39,50,26,47,12,7
33,58,40,70,52,73,61,63,56,50,51,38,44,28,45,16,7
31,54,39,64,52,70,64,69,63,55,60,41,54,27,47,12,7
17,66,34,65,52,66,71,65,71,50,62,38,54,26,44,13,7
25,73,39,72,46,57,53,67,58,54,56,41,59,29,61,16,7
15,67,31,69,47,65,62,61,73,51,67,38,55,26,41,13,7
38,69,55,69,61,55,69,67,53,46,45,35,36,26,31,15,7
28,74,45,71,63,67,81,46,62,48,50,39,30,41,46,19,7
21,66,36,70,53,72,63,62,59,48,55,35,49,23,43,11,7
36,73,53,75,63,58,66,69,55,48,47,37,39,26,30,15,7
29,58,32,71,47,73,62,69,60,55,56,40,50,25,45,12,7
24,58,38,65,54,70,70,69,63,52,53,39,42,24,36,11,7
12,49,26,61,46,70,63,74,65,62,65,47,58,30,56,15,7
37,63,49,69,59,71,63,62,60,48,53,36,46,24,38,13,7
21,71,38,71,54,70,68,64,63,53,58,38,52,25,50,12,7
40,73,55,72,64,54,67,69,56,41,46,31,36,23,29,14,7
30,55,32,68,47,71,59,61,60,48,63,30,33,41,64,14,7
35,71,53,74,55,62,61,49,51,45,38,38,46,29,45,16,7
32,57,45,65,57,74,56,62,55,47,53,35,52,25,52,14,7
33,56,45,67,63,64,75,71,58,48,48,34,41,21,33,11,7
42,75,54,75,60,57,66,70,54,45,45,35,37,24,30,14,7
36,57,45,68,59,71,73,64,62,50,51,37,39,24,30,12,7
32,61,41,69,56,71,71,67,64,53,52,39,40,26,30,13,7
20,61,32,67,47,72,62,69,59,54,55,38,51,25,49,12,7
22,67,37,70,51,65,64,62,62,48,59,36,58,24,56,11,7
26,71,38,71,50,68,62,62,62,49,54,38,46,27,42,12,7
33,35,35,67,53,72,69,71,62,57,55,42,45,29,36,16,7
34,49,37,61,44,71,59,70,60,55,57,39,52,26,49,11,7
26,64,37,70,51,71,71,48,51,52,31,47,51,35,53,17,7
36,63,47,69,60,71,59,60,56,48,53,35,46,23,38,12,7
22,63,36,62,53,61,71,61,70,44,69,28,17,46,64,11,7
25,67,37,67,50,68,60,69,60,55,55,42,49,29,41,13,7
22,68,37,71,49,71,60,69,58,55,54,39,51,25,49,12,7
40,68,54,69,68,63,72,76,56,49,45,37,34,26,22,19,7
22,69,36,70,51,69,64,67,58,54,53,40,51,26,51,12,7
39,70,49,66,61,65,69,59,60,47,51,38,42,26,31,13,7
26,78,47,78,50,55,58,70,76,44,60,43,40,40,39,21,7
34,37,33,73,55,75,61,60,61,45,49,44,49,30,53,15,7
35,77,19,63,74,32,62,16,42,24,39,48,55,49,60,74,8
53,77,52,59,45,46,48,28,32,22,25,37,70,66,72,80,8
42,77,31,64,62,39,60,21,44,23,44,49,54,61,58,76,8
53,78,37,68,47,54,52,22,38,22,52,38,63,60,69,75,8
45,72,25,69,49,48,70,18,52,26,33,57,68,38,65,71,8
55,76,34,68,55,47,43,23,27,34,39,43,70,54,83,66,8
49,80,48,66,56,46,55,28,38,22,41,38,59,61,65,78,8
32,68,24,51,60,47,49,19,30,17,39,34,74,68,51,74,8
